Year,Month,Location,ReportedInstances
2022,August,South Tyneside,419
2022,August,Sunderland,713
2022,August,Unspecified,7
2022,September,Gateshead,460
2022,September,Newcastle,649
2022,September,North Tyneside,406
2022,September,Northumberland,495
2022,September,South Tyneside,371
2022,September,Sunderland,655
2022,September,Unspecified,7
2022,October,Gateshead,429
2022,October,Newcastle,637
2022,October,North Tyneside,441
2022,October,Northumberland,549
2022,October,South Tyneside,390
2022,October,Sunderland,690
2022,October,Unspecified,7
2022,November,Gateshead,402
2022,November,Newcastle,602
2022,November,North Tyneside,407
2022,November,Northumberland,508
2022,November,South Tyneside,378
2022,November,Sunderland,587
2022,November,Unspecified,5
2022,December,Gateshead,445
2022,December,Newcastle,645
2022,December,North Tyneside,392
2022,December,Northumberland,491
2022,December,South Tyneside,420
2022,December,Sunderland,590
2022,December,Unspecified,5
2023,January,Gateshead,418
2023,January,Newcastle,633
2023,January,North Tyneside,419
2023,January,Northumberland,539
2023,January,South Tyneside,388
2023,January,Sunderland,658
2023,January,Unspecified,4
2023,February,Gateshead,430
2023,February,Newcastle,607
2023,February,North Tyneside,392
2023,February,Northumberland,522
2023,February,South Tyneside,363
2023,February,Sunderland,576
2023,February,Unspecified,12
2023,March,Gateshead,506
2023,March,Newcastle,685
2023,March,North Tyneside,352
2023,March,Northumberland,548
2023,March,South Tyneside,347
2023,March,Sunderland,651
2023,March,Unspecified,9
2023,April,Gateshead,460
2023,April,Newcastle,686
2023,April,North Tyneside,425
2023,April,Northumberland,527
2023,April,South Tyneside,393
2023,April,Sunderland,702
2023,April,Unspecified,6
2023,May,Gateshead,511
2023,May,Newcastle,672
2023,May,North Tyneside,426
2023,May,Northumberland,558
2023,May,South Tyneside,408
2023,May,Sunderland,735
2023,May,Unspecified,5
2023,June,Gateshead,515
2023,June,Newcastle,657
2023,June,North Tyneside,440
2023,June,Northumberland,571
2023,June,South Tyneside,371
2023,June,Sunderland,670
2023,June,Unspecified,9
2023,July,Gateshead,488
2023,July,Newcastle,787
2023,July,North Tyneside,441
2023,July,Northumberland,585
2023,July,South Tyneside,448
2023,July,Sunderland,726
2023,July,Unspecified,13
2023,August,Gateshead,514
2023,August,Newcastle,689
2023,August,North Tyneside,428
2023,August,Northumberland,596
2023,August,South Tyneside,417
2023,August,Sunderland,757
2023,August,Unspecified,7
2023,September,Gateshead,490
2023,September,Newcastle,661
2023,September,North Tyneside,394
2023,September,Northumberland,555
2023,September,South Tyneside,353
2023,September,Sunderland,653
2023,September,Unspecified,7
2023,October,Gateshead,479
2023,October,Newcastle,646
2023,October,North Tyneside,419
2023,October,Northumberland,550
2023,October,South Tyneside,361
2023,October,Sunderland,649
2023,October,Unspecified,6
2023,November,Gateshead,440
2023,November,Newcastle,589
2023,November,North Tyneside,411
2023,November,Northumberland,588
2023,November,South Tyneside,365
2023,November,Sunderland,642
2023,November,Unspecified,4
2023,December,Gateshead,536
2023,December,Newcastle,711
2023,December,North Tyneside,384
2023,December,Northumberland,552
2023,December,South Tyneside,390
2023,December,Sunderland,755
2023,December,Unspecified,11
2024,January,Gateshead,492
2024,January,Newcastle,650
2024,January,North Tyneside,461
2024,January,Northumberland,559
2024,January,South Tyneside,463
2024,January,Sunderland,763
2024,January,Unspecified,8
2024,February,Gateshead,483
