Season,DateofMatch,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Winner,Location,Derby
2018/2019,26/01/2019,Accrington,Derby,0,1,Derby,Accrington,FALSE
2018/2019,05/01/2019,Accrington,Ipswich,1,0,Accrington,Accrington,FALSE
2018/2019,10/11/2018,Accrington,Colchester,1,0,Accrington,Accrington,FALSE
2019/2020,11/09/2019,Accrington,Crewe,0,2,Crewe,Accrington,FALSE
2023/2024,14/11/2023,Accrington,Doncaster,1,2,Doncaster,Accrington,FALSE
2022/2023,24/01/2023,Accrington,Boreham Wood,1,0,Accrington,Accrington,FALSE
2018/2019,01/12/2018,Accrington,Cheltenham,3,1,Accrington,Accrington,FALSE
2022/2023,26/11/2022,Accrington,Barnet,1,0,Accrington,Accrington,FALSE
2022/2023,28/01/2023,Accrington,Leeds,1,3,Leeds,Accrington,FALSE
2022/2023,05/11/2022,AFC Fylde,Gillingham,1,1,Draw,Fylde,FALSE
2018/2019,26/01/2019,AFC Wimbledon,West Ham,4,2,AFC Wimbledon,London,FALSE
2018/2019,16/02/2019,AFC Wimbledon,Millwall,0,1,Millwall,London,FALSE
2019/2020,11/09/2019,AFC Wimbledon,Doncaster,1,1,Draw,London,FALSE
2021/2022,04/12/2021,AFC Wimbledon,Cheltenham,4,3,AFC Wimbledon,London,FALSE
2021/2022,06/11/2021,AFC Wimbledon,Guiseley,1,0,AFC Wimbledon,London,FALSE
2023/2024,04/11/2023,AFC Wimbledon,Cheltenham,5,1,AFC Wimbledon,London,FALSE
2023/2024,04/12/2023,AFC Wimbledon,Ramsgate,5,0,AFC Wimbledon,London,FALSE
2023/2024,06/01/2024,AFC Wimbledon,Ipswich,1,3,Ipswich,London,FALSE
2022/2023,15/11/2022,AFC Wimbledon,Weymouth,3,1,AFC Wimbledon,London,FALSE
2022/2023,26/11/2022,AFC Wimbledon,Chesterfield,0,2,Chesterfield,London,FALSE
2020/2021,29/11/2020,AFC Wimbledon,Crawley,1,2,Crawley,London,FALSE
2018/2019,10/11/2018,Aldershot,Bradford City,1,1,Draw,Aldershot,FALSE
2023/2024,03/12/2023,Aldershot,Stockport,2,2,Draw,Aldershot,FALSE
2018/2019,11/11/2018,Alfreton,Fleetwood,1,4,Fleetwood,Alfreton,FALSE
2023/2024,04/11/2023,Alfreton,Worthing,2,0,Alfreton,Alfreton,FALSE
2023/2024,05/12/2023,Alfreton,Walsall,0,0,Draw,Alfreton,FALSE
2021/2022,16/11/2021,Altrincham,Gateshead,2,3,Gateshead,Manchester,FALSE
2019/2020,01/06/2020,Arsenal,Leeds,1,0,Arsenal,London,FALSE
2019/2020,7/18/2020,Arsenal,Man City,2,0,Arsenal,London,FALSE
2019/2020,08/01/2020,Arsenal,Chelsea,2,1,Arsenal,London,TRUE
2020/2021,09/01/2021,Arsenal,Newcastle,2,0,Arsenal,London,FALSE
2023/2024,07/01/2024,Arsenal,Liverpool,0,2,Liverpool,London,TRUE
2018/2019,05/01/2019,Aston Villa,Swansea,0,3,Swansea,Birmingham,FALSE
2020/2021,08/01/2021,Aston Villa,Liverpool,1,4,Liverpool,Birmingham,FALSE
2022/2023,08/01/2023,Aston Villa,Stevenage,1,2,Stevenage,Birmingham,FALSE
2023/2024,07/02/2024,Aston Villa,Chelsea,1,3,Chelsea,Birmingham,FALSE
2020/2021,07/11/2020,Banbury,Canvey Island,1,2,Canvey Island,Banbury,FALSE
2021/2022,06/11/2021,Banbury,Barrow,0,4,Barrow,Banbury,FALSE
2018/2019,28/01/2019,Barnet,Brentford,3,3,Draw,London,FALSE
2018/2019,11/11/2018,Barnet,Bristol Rovers,1,1,Draw,London,FALSE
2019/2020,11/10/2019,Barnet,Fleetwood,0,2,Fleetwood,London,FALSE
2020/2021,08/11/2020,Barnet,Burton,1,0,Barnet,London,FALSE
2022/2023,05/11/2022,Barnet,Chelmsford,1,1,Draw,London,FALSE
2023/2024,12/12/2023,Barnet,Newport,1,4,Newport,London,FALSE
2018/2019,02/12/2018,Barnet,Stockport,1,0,Barnet,London,FALSE
2020/2021,29/11/2020,Barnet,MK Dons,0,1,MK Dons,London,FALSE
2020/2021,10/01/2021,Barnsley,Tranmere,2,0,Barnsley,Barnsley,FALSE
2020/2021,11/02/2021,Barnsley,Chelsea,0,1,Chelsea,Barnsley,FALSE
2021/2022,08/01/2022,Barnsley,Barrow,5,4,Barnsley,Barnsley,FALSE
2023/2024,03/11/2023,Barnsley,Horsham FC,3,3,Draw,Barnsley,FALSE
2018/2019,10/11/2018,Barnsley,Notts Co,4,0,Barnsley,Barnsley,FALSE
2020/2021,23/01/2021,Barnsley,Norwich,1,0,Barnsley,Barnsley,FALSE
2022/2023,26/11/2022,Barnsley,Crewe,3,0,Barnsley,Barnsley,FALSE
2022/2023,05/11/2022,Barrow,Mansfield,0,1,Mansfield,Barrow-In-Furness,FALSE
2021/2022,15/12/2021,Barrow,Ipswich,2,0,Barrow,Barrow-In-Furness,FALSE
2020/2021,26/11/2020,Barrow,AFC Wimbledon,0,1,AFC Wimbledon,Barrow-In-Furness,FALSE
2018/2019,20/11/2018,Billericay,Chesterfield,1,3,Chesterfield,Barrow-In-Furness,FALSE
2019/2020,01/04/2020,Birmingham,Blackburn,2,1,Birmingham,Birmingham,FALSE
2019/2020,02/04/2020,Birmingham,Coventry,3,2,Birmingham,Birmingham,FALSE
2021/2022,08/01/2022,Birmingham,Plymouth,0,1,Plymouth,Birmingham,FALSE
2023/2024,16/01/2024,Birmingham,Hull,2,1,Birmingham,Birmingham,FALSE
2022/2023,31/01/2023,Birmingham,Blackburn,0,1,Blackburn,Birmingham,FALSE
2018/2019,15/01/2019,Blackburn,Newcastle,2,4,Newcastle,Blackburn,FALSE
2020/2021,09/01/2021,Blackburn,Doncaster,0,1,Doncaster,Blackburn,FALSE
2023/2024,06/01/2024,Blackburn,Cambridge Utd,5,2,Blackburn,Blackburn,FALSE
2023/2024,27/02/2024,Blackburn,Newcastle,1,2,Newcastle,Blackburn,FALSE
2022/2023,28/01/2023,Blackburn,Birmingham,2,2,Draw,Blackburn,FALSE
2023/2024,28/01/2024,Blackburn,Wrexham,4,1,Blackburn,Blackburn,FALSE
2018/2019,18/12/2018,Blackpool,Solihull Moors,3,2,Blackpool,Blackpool,FALSE
2018/2019,05/01/2019,Blackpool,Arsenal,0,3,Arsenal,Blackpool,FALSE
2019/2020,11/09/2019,Blackpool,Morecambe,4,1,Blackpool,Blackpool,FALSE
2019/2020,12/01/2019,Blackpool,Maidstone,3,1,Blackpool,Blackpool,FALSE
2019/2020,1/14/2020,Blackpool,Reading,0,2,Reading,Blackpool,FALSE
2020/2021,09/01/2021,Blackpool,West Brom,3,2,Blackpool,Blackpool,FALSE
2022/2023,07/01/2023,Blackpool,Nottm Forest,4,1,Blackpool,Blackpool,FALSE
2023/2024,17/01/2024,Blackpool,Nottm Forest,2,3,Nottm Forest,Blackpool,FALSE
2023/2024,19/12/2023,Blackpool,Forest Green,3,0,Blackpool,Blackpool,FALSE
2018/2019,05/01/2019,Bolton,Walsall,5,2,Bolton,Manchester,FALSE
2019/2020,11/09/2019,Bolton,Plymouth,0,1,Plymouth,Manchester,FALSE
2020/2021,07/11/2020,Bolton,Crewe,2,3,Crewe,Manchester,FALSE
2021/2022,07/11/2021,Bolton,Stockport,2,2,Draw,Manchester,FALSE
2022/2023,05/11/2022,Bolton,Barnsley,1,2,Barnsley,Manchester,FALSE
2023/2024,02/12/2023,Bolton,Harrogate,5,1,Bolton,Manchester,FALSE
2023/2024,04/11/2023,Bolton,Solihull Moors,4,0,Bolton,Manchester,FALSE
2023/2024,16/01/2024,Bolton,Luton,1,2,Luton,Manchester,FALSE
2020/2021,07/11/2020,Boreham Wood,Southend,4,3,Boreham Wood,Borehamwood,FALSE
2021/2022,06/11/2021,Boreham Wood,Eastleigh,2,0,Boreham Wood,Borehamwood,FALSE
2021/2022,06/12/2021,Boreham Wood,St. Albans,4,0,Boreham Wood,Borehamwood,FALSE
2020/2021,09/01/2021,Boreham Wood,Millwall,0,2,Millwall,Borehamwood,FALSE
2022/2023,05/11/2022,Boreham Wood,Eastleigh,3,1,Boreham Wood,Borehamwood,FALSE
2021/2022,08/01/2022,Boreham Wood,AFC Wimbledon,2,0,Boreham Wood,Borehamwood,FALSE
2022/2023,07/01/2023,Boreham Wood,Accrington,1,1,Draw,Borehamwood,FALSE
2019/2020,12/16/2019,Boston Utd,Rochdale,1,2,Rochdale,Boston,FALSE
2018/2019,05/01/2019,Bournemouth,Brighton,1,3,Brighton,Bournemouth,FALSE
2019/2020,01/04/2020,Bournemouth,Luton,4,0,Bournemouth,Bournemouth,FALSE
2019/2020,1/27/2020,Bournemouth,Arsenal,1,2,Arsenal,Bournemouth,FALSE
2020/2021,09/01/2021,Bournemouth,Oldham,4,1,Bournemouth,Bournemouth,FALSE
2021/2022,06/02/2022,Bournemouth,Boreham Wood,0,1,Boreham Wood,Bournemouth,FALSE
2022/2023,07/01/2023,Bournemouth,Burnley,2,4,Burnley,Bournemouth,FALSE
2020/2021,20/03/2021,Bournemouth,Southampton,0,3,Southampton,Bournemouth,TRUE
2023/2024,25/01/2024,Bournemouth,Swansea,5,0,Bournemouth,Bournemouth,FALSE
2020/2021,26/01/2021,Bournemouth,Crawley,2,1,Bournemouth,Bournemouth,FALSE
2023/2024,27/02/2024,Bournemouth,Leicester,0,1,Leicester,Bournemouth,FALSE
2020/2021,07/11/2020,Brackley Town,Bishop's Stortford,4,3,Brackley Town,Brackley,FALSE
2022/2023,07/11/2022,Bracknell,Ipswich,0,3,Ipswich,Bracknell,FALSE
2018/2019,20/11/2018,Bradford City,Aldershot,2,1,Bradford City,Bradford,FALSE
2018/2019,11/12/2018,Bradford City,Peterborough,4,5,Peterborough,Bradford,FALSE
2019/2020,11/19/2019,Bradford City,Shrewsbury,0,1,Shrewsbury,Bradford,FALSE
2021/2022,06/11/2021,Bradford City,Exeter,1,1,Draw,Bradford,FALSE
2022/2023,05/11/2022,Bradford City,Harrogate,0,1,Harrogate,Bradford,FALSE
2023/2024,04/11/2023,Bradford City,Wycombe,1,2,Wycombe,Bradford,FALSE
2020/2021,28/11/2020,Bradford City,Oldham,1,2,Oldham,Bradford,FALSE
2018/2019,05/02/2019,Brentford,Barnet,3,1,Brentford,London,FALSE
2018/2019,05/01/2019,Brentford,Oxford Utd,1,0,Brentford,London,FALSE
2019/2020,01/04/2020,Brentford,Stoke,1,0,Brentford,London,FALSE
2019/2020,1/25/2020,Brentford,Leicester,0,1,Leicester,London,FALSE
2020/2021,09/01/2021,Brentford,Middlesbrough,2,1,Brentford,London,FALSE
2022/2023,07/01/2023,Brentford,West Ham,0,1,West Ham,London,FALSE
2023/2024,05/01/2024,Brentford,Wolves,1,1,Draw,London,FALSE
2020/2021,24/01/2021,Brentford,Leicester,1,3,Leicester,London,FALSE
2018/2019,26/01/2019,Brighton,West Brom,0,0,Draw,Brighton and Hove,FALSE
2018/2019,16/02/2019,Brighton,Derby,2,1,Brighton,Brighton and Hove,FALSE
2019/2020,01/04/2020,Brighton,Sheff Wed,0,1,Sheff Wed,Brighton and Hove,FALSE
2022/2023,19/03/2023,Brighton,Grimsby,5,0,Brighton,Brighton and Hove,FALSE
2020/2021,23/01/2021,Brighton,Blackpool,2,1,Brighton,Brighton and Hove,FALSE
2022/2023,23/04/2023,Brighton,Man Utd,0,1,Man Utd,Brighton and Hove,FALSE
2022/2023,29/01/2023,Brighton,Liverpool,2,1,Brighton,Brighton and Hove,FALSE
2018/2019,25/01/2019,Bristol City,Bolton,2,1,Bristol City,Bristol,FALSE
2018/2019,17/02/2019,Bristol City,Wolves,0,1,Wolves,Bristol,FALSE
2018/2019,05/01/2019,Bristol City,Huddersfield,1,0,Bristol City,Bristol,FALSE
2019/2020,01/04/2020,Bristol City,Shrewsbury,1,1,Draw,Bristol,FALSE
2020/2021,10/01/2021,Bristol City,Portsmouth,2,1,Bristol City,Bristol,FALSE
2021/2022,08/01/2022,Bristol City,Fulham,0,1,Fulham,Bristol,FALSE
2022/2023,08/01/2023,Bristol City,Swansea,1,1,Draw,Bristol,FALSE
2023/2024,16/01/2024,Bristol City,West Ham,1,0,Bristol City,Bristol,FALSE
2023/2024,27/01/2024,Bristol City,Nottm Forest,0,0,Draw,Bristol,FALSE
2022/2023,28/01/2023,Bristol City,West Brom,3,0,Bristol City,Bristol,FALSE
2022/2023,28/02/2023,Bristol City,Man City,0,3,Man City,Bristol,FALSE
2018/2019,21/11/2018,Bristol Rovers,Barnet,1,2,Barnet,Bristol,FALSE
2019/2020,11/10/2019,Bristol Rovers,Bromley,1,1,Draw,Bristol,FALSE
2019/2020,12/01/2019,Bristol Rovers,Plymouth,1,1,Draw,Bristol,TRUE
2019/2020,01/05/2020,Bristol Rovers,Coventry,2,2,Draw,Bristol,FALSE
2021/2022,04/12/2021,Bristol Rovers,Sutton,2,1,Bristol Rovers,Bristol,FALSE
2020/2021,09/01/2021,Bristol Rovers,Sheff Utd,2,3,Sheff Utd,Bristol,FALSE
2022/2023,05/11/2022,Bristol Rovers,Rochdale,1,1,Draw,Bristol,FALSE
2023/2024,04/11/2023,Bristol Rovers,Whitby,7,2,Bristol Rovers,Bristol,FALSE
2021/2022,16/11/2021,Bristol Rovers,Oxford Utd,4,3,Bristol Rovers,Bristol,FALSE
2023/2024,17/01/2024,Bristol Rovers,Norwich,1,3,Norwich,Bristol,FALSE
2022/2023,27/11/2022,Bristol Rovers,Boreham Wood,0,2,Boreham Wood,Bristol,FALSE
2020/2021,29/11/2020,Bristol Rovers,Darlington,6,0,Bristol Rovers,Bristol,FALSE
2019/2020,11/19/2019,Bromley,Bristol Rovers,0,1,Bristol Rovers,London,FALSE
2020/2021,07/11/2020,Bromley,Yeovil,0,1,Yeovil,London,FALSE
2023/2024,04/11/2023,Bromley,Blackpool,0,2,Blackpool,London,FALSE
2018/2019,10/11/2018,Bromley,Peterborough,1,3,Peterborough,London,FALSE
2018/2019,05/01/2019,Burnley,Barnsley,1,0,Burnley,Burnley,FALSE
2019/2020,01/04/2020,Burnley,Peterborough,4,2,Burnley,Burnley,FALSE
2019/2020,1/25/2020,Burnley,Norwich,1,2,Norwich,Burnley,FALSE
2020/2021,09/01/2021,Burnley,MK Dons,2,1,Burnley,Burnley,FALSE
2020/2021,09/02/2021,Burnley,Bournemouth,0,2,Bournemouth,Burnley,FALSE
2021/2022,08/01/2022,Burnley,Huddersfield,1,2,Huddersfield,Burnley,FALSE
2022/2023,01/03/2023,Burnley,Fleetwood,1,0,Burnley,Burnley,FALSE
2022/2023,07/02/2023,Burnley,Ipswich,2,1,Burnley,Burnley,FALSE
2019/2020,11/19/2019,Burton,Salford,4,1,Burton,Burton,FALSE
2019/2020,01/05/2020,Burton,Northampton,4,0,Burton,Burton,FALSE
2021/2022,04/12/2021,Burton,Port Vale,1,2,Port Vale,Burton,TRUE
2022/2023,05/11/2022,Burton,Needham Market,2,0,Burton,Burton,FALSE
2023/2024,14/11/2023,Burton,Port Vale,0,2,Port Vale,Burton,FALSE
2022/2023,27/11/2022,Burton,Chippenham,6,1,Burton,Burton,FALSE
2018/2019,10/11/2018,Bury,Dover,5,0,Bury,Bury,FALSE
2018/2019,02/12/2018,Bury,Luton,0,1,Luton,Bury,FALSE
2021/2022,04/12/2021,Buxton,Morecambe,0,1,Morecambe,Buxton,FALSE
2022/2023,05/11/2022,Buxton,Merthyr Town,2,0,Buxton,Buxton,FALSE
2019/2020,11/09/2019,Cambridge Utd,Exeter,1,1,Draw,Cambridge,FALSE
2020/2021,07/11/2020,Cambridge Utd,Shrewsbury,0,2,Shrewsbury,Cambridge,FALSE
2021/2022,04/12/2021,Cambridge Utd,Exeter,2,1,Cambridge Utd,Cambridge,FALSE
2021/2022,05/02/2022,Cambridge Utd,Luton,0,3,Luton,Cambridge,FALSE
2023/2024,02/12/2023,Cambridge Utd,Fleetwood,4,0,Cambridge Utd,Cambridge,FALSE
2023/2024,04/11/2023,Cambridge Utd,Bracknell,2,1,Cambridge Utd,Cambridge,FALSE
2022/2023,15/11/2022,Cambridge Utd,Curzon Ashton,1,0,Cambridge Utd,Cambridge,FALSE
2021/2022,16/11/2021,Cambridge Utd,Northampton,3,1,Cambridge Utd,Cambridge,FALSE
2022/2023,26/11/2022,Cambridge Utd,Grimsby,1,2,Grimsby,Cambridge,FALSE
2020/2021,30/11/2020,Canvey Island,Boreham Wood,0,3,Boreham Wood,Canvey Island,FALSE
2019/2020,01/04/2020,Cardiff,Carlisle,2,2,Draw,Cardiff,FALSE
2019/2020,02/04/2020,Cardiff,Reading,3,4,Reading,Cardiff,FALSE
2021/2022,09/01/2022,Cardiff,Preston,2,1,Cardiff,Cardiff,FALSE
2022/2023,08/01/2023,Cardiff,Leeds,2,2,Draw,Cardiff,TRUE
2019/2020,12/10/2019,Carlisle,Forest Green,1,0,Carlisle,Carlisle,FALSE
2019/2020,1/15/2020,Carlisle,Cardiff,3,4,Cardiff,Carlisle,FALSE
2021/2022,04/12/2021,Carlisle,Shrewsbury,1,2,Shrewsbury,Carlisle,FALSE
2021/2022,06/11/2021,Carlisle,Horsham FC,2,0,Carlisle,Carlisle,FALSE
2022/2023,05/11/2022,Carlisle,Tranmere,2,1,Carlisle,Carlisle,FALSE
2020/2021,29/11/2020,Carlisle,Doncaster,1,2,Doncaster,Carlisle,FALSE
2019/2020,11/09/2019,Carshalton,Boston Utd,1,4,Boston Utd,London,FALSE
2018/2019,20/11/2018,Charlton,Mansfield,5,0,Charlton,Charlton,FALSE
2019/2020,01/05/2020,Charlton,West Brom,0,1,West Brom,Charlton,FALSE
2020/2021,07/11/2020,Charlton,Plymouth,0,1,Plymouth,Charlton,FALSE
2021/2022,06/11/2021,Charlton,Havant & W,4,0,Charlton,Charlton,FALSE
2022/2023,05/11/2022,Charlton,Coalville,4,1,Charlton,Charlton,FALSE
2021/2022,09/01/2022,Charlton,Norwich,0,1,Norwich,Charlton,FALSE
2023/2024,05/11/2023,Charlton,Cray Valley,1,1,Draw,Charlton,FALSE
2018/2019,01/12/2018,Charlton,Doncaster,0,2,Doncaster,Charlton,FALSE
2022/2023,26/11/2022,Charlton,Stockport,2,2,Draw,Charlton,FALSE
2022/2023,14/11/2022,Chelmsford,Barnet,0,1,Barnet,Chelmsford,FALSE
2018/2019,27/01/2019,Chelsea,Sheff Wed,3,0,Chelsea,London,FALSE
2018/2019,18/02/2019,Chelsea,Man Utd,0,2,Man Utd,London,FALSE
2018/2019,05/01/2019,Chelsea,Nottm Forest,2,0,Chelsea,London,FALSE
2019/2020,01/05/2020,Chelsea,Nottm Forest,2,0,Chelsea,London,FALSE
2019/2020,03/03/2020,Chelsea,Liverpool,2,0,Chelsea,London,FALSE
2020/2021,10/01/2021,Chelsea,Morecambe,4,0,Chelsea,London,FALSE
2021/2022,05/02/2022,Chelsea,Plymouth,2,1,Chelsea,London,FALSE
2021/2022,08/01/2022,Chelsea,Chesterfield,5,1,Chelsea,London,FALSE
2023/2024,06/01/2024,Chelsea,Preston,4,0,Chelsea,London,FALSE
2021/2022,14/05/2022,Chelsea,Liverpool,0,1,Liverpool,London,TRUE
2020/2021,15/05/2021,Chelsea,Leicester,0,1,Leicester,London,FALSE
2023/2024,17/03/2024,Chelsea,Leicester,4,2,Chelsea,London,FALSE
2020/2021,17/04/2021,Chelsea,Man City,1,0,Chelsea,London,FALSE
2021/2022,17/04/2022,Chelsea,Crystal Palace,2,0,Chelsea,London,FALSE
2020/2021,21/03/2021,Chelsea,Sheff Utd,2,0,Chelsea,London,FALSE
2020/2021,24/01/2021,Chelsea,Luton,3,1,Chelsea,London,FALSE
2023/2024,27/01/2024,Chelsea,Aston Villa,0,0,Draw,London,FALSE
2023/2024,28/02/2024,Chelsea,Leeds,3,2,Chelsea,London,TRUE
2018/2019,20/11/2018,Cheltenham,Ebbsfleet,2,0,Cheltenham,Cheltenham,FALSE
2019/2020,11/09/2019,Cheltenham,Swindon,1,1,Draw,Cheltenham,FALSE
2019/2020,11/30/2019,Cheltenham,Port Vale,1,3,Port Vale,Cheltenham,FALSE
2020/2021,07/11/2020,Cheltenham,South Shields,3,1,Cheltenham,Cheltenham,FALSE
2020/2021,10/01/2021,Cheltenham,Mansfield,2,1,Cheltenham,Cheltenham,FALSE
2022/2023,05/11/2022,Cheltenham,Alvechurch,1,2,Alvechurch,Cheltenham,FALSE
2021/2022,16/11/2021,Cheltenham,Gillingham,1,0,Cheltenham,Cheltenham,FALSE
2020/2021,23/01/2021,Cheltenham,Man City,1,3,Man City,Cheltenham,FALSE
2020/2021,28/11/2020,Cheltenham,Crewe,2,1,Cheltenham,Cheltenham,FALSE
2023/2024,04/11/2023,Chesham,Maidstone,0,2,Maidstone,Chesham,FALSE
2023/2024,04/11/2023,Chester,York City,0,0,Draw,Chester,FALSE
2021/2022,06/11/2021,Chesterfield,Southend,3,1,Chesterfield,Chesterfield,FALSE
2022/2023,05/11/2022,Chesterfield,Northampton,1,0,Chesterfield,Chesterfield,FALSE
2023/2024,03/12/2023,Chesterfield,Leyton Orient,1,0,Chesterfield,Chesterfield,FALSE
2023/2024,05/11/2023,Chesterfield,Portsmouth,1,0,Chesterfield,Chesterfield,FALSE
2022/2023,07/01/2023,Chesterfield,West Brom,3,3,Draw,Chesterfield,FALSE
2018/2019,10/11/2018,Chesterfield,Billericay,1,1,Draw,Chesterfield,FALSE
2018/2019,02/12/2018,Chesterfield,Grimsby,0,2,Grimsby,Chesterfield,FALSE
2019/2020,11/10/2019,Chippenham,Northampton,0,3,Northampton,Chippenham,FALSE
2022/2023,05/11/2022,Chippenham,Lincoln,1,0,Chippenham,Chippenham,FALSE
2018/2019,11/11/2018,Chorley,Doncaster,2,2,Draw,Chorley,FALSE
2020/2021,09/01/2021,Chorley,Derby,2,0,Chorley,Chorley,FALSE
2020/2021,23/01/2021,Chorley,Wolves,0,1,Wolves,Chorley,FALSE
2019/2020,11/09/2019,Colchester,Coventry,0,2,Coventry,Colchester,FALSE
2020/2021,07/11/2020,Colchester,Marine,1,2,Marine,Colchester,FALSE
2021/2022,05/12/2021,Colchester,Wigan,1,2,Wigan,Colchester,FALSE
2019/2020,12/01/2019,Coventry,Ipswich,1,1,Draw,Coventry,FALSE
2019/2020,1/14/2020,Coventry,Bristol Rovers,3,0,Coventry,Coventry,FALSE
2019/2020,1/25/2020,Coventry,Birmingham,0,0,Draw,Coventry,FALSE
2021/2022,08/01/2022,Coventry,Derby,1,0,Coventry,Coventry,FALSE
2022/2023,07/01/2023,Coventry,West Ham,0,1,West Ham,Coventry,FALSE
2023/2024,06/01/2024,Coventry,Oxford Utd,6,2,Coventry,Coventry,FALSE
2023/2024,06/02/2024,Coventry,Sheff Wed,4,1,Coventry,Coventry,FALSE
2023/2024,21/04/2024,Coventry,Man Utd,3,4,Man Utd,Coventry,FALSE
2023/2024,26/02/2024,Coventry,Maidstone,5,0,Coventry,Coventry,FALSE
2018/2019,20/11/2018,Crawley ,Southend,2,6,Southend,Crawley ,FALSE
2019/2020,11/09/2019,Crawley ,Scunthorpe,4,1,Crawley,Crawley ,FALSE
2019/2020,12/01/2019,Crawley ,Fleetwood,1,2,Fleetwood,Crawley ,FALSE
2021/2022,06/11/2021,Crawley ,Tranmere,0,1,Tranmere,Crawley ,FALSE
2020/2021,10/01/2021,Crawley ,Leeds,3,0,Crawley,Crawley ,FALSE
2022/2023,05/11/2022,Crawley ,Accrington,1,4,Accrington,Crawley ,FALSE
2023/2024,15/11/2023,Cray Valley,Charlton,1,6,Charlton,London,FALSE
2019/2020,12/10/2019,Crewe,Eastleigh,3,1,Crewe,Crewe,FALSE
2019/2020,01/05/2020,Crewe,Barnsley,1,3,Barnsley,Crewe,FALSE
2021/2022,06/11/2021,Crewe,Swindon,0,3,Swindon,Crewe,FALSE
2022/2023,05/11/2022,Crewe,Leyton Orient,1,0,Crewe,Crewe,FALSE
2023/2024,05/11/2023,Crewe,Derby,2,2,Draw,Crewe,FALSE
2023/2024,12/12/2023,Crewe,Bristol Rovers,2,4,Bristol Rovers,Crewe,FALSE
2018/2019,10/11/2018,Crewe,Carlisle,0,1,Carlisle,Crewe,FALSE
2018/2019,27/01/2019,Crystal Palace,Tottenham,2,0,Crystal Palace,London,TRUE
2018/2019,05/01/2019,Crystal Palace,Grimsby,1,0,Crystal Palace,London,FALSE
2019/2020,01/05/2020,Crystal Palace,Derby,0,1,Derby,London,FALSE
2021/2022,01/03/2022,Crystal Palace,Stoke,2,1,Crystal Palace,London,FALSE
